head,relation,tail,template_id,template
John Robert Hoffman,screenwriter,igor (2008),1,[X] is [REL] of [Y].
Der Wildtöter und Chingachgook,screenwriter,JFCooper,0,[X] has [REL] as [Y].
JFCooper,screenwriter,Der Wildtöter und Chingachgook,1,[X] is [REL] of [Y].
u.s. route 112s,terminus location,"new buffalo, michigan",1,[X] is [REL] of [Y].
"new buffalo, michigan",terminus location,u.s. route 112s,0,[X] has [REL] as [Y].
Route nationale 6 (France),terminus location,joigny,1,[X] is [REL] of [Y].
joigny,terminus location,Route nationale 6 (France),0,[X] has [REL] as [Y].
route nationale 24,terminus location,condate riedonum,1,[X] is [REL] of [Y].
condate riedonum,terminus location,route nationale 24,0,[X] has [REL] as [Y].
Japan National Route 402,terminus location,"Kashiwazaki, Niigata",1,[X] is [REL] of [Y].
"Kashiwazaki, Niigata",terminus location,Japan National Route 402,0,[X] has [REL] as [Y].
M11 highway (Belarus),terminus location,ivacevichi,1,[X] is [REL] of [Y].
ivacevichi,terminus location,M11 highway (Belarus),0,[X] has [REL] as [Y].
Telford Road,terminus location,Chiswick,1,[X] is [REL] of [Y].
Chiswick,terminus location,Telford Road,0,[X] has [REL] as [Y].
Provincial road N763 (Netherlands),terminus location,"Kampen, Netherlands",1,[X] is [REL] of [Y].
"Kampen, Netherlands",terminus location,Provincial road N763 (Netherlands),0,[X] has [REL] as [Y].
Japan National Route 222,terminus location,"miyakonojô, miyazaki",1,[X] is [REL] of [Y].
"miyakonojô, miyazaki",terminus location,Japan National Route 222,0,[X] has [REL] as [Y].
Interstate 35 in Oklahoma,terminus location,religion in texas,1,[X] is [REL] of [Y].
religion in texas,terminus location,Interstate 35 in Oklahoma,0,[X] has [REL] as [Y].
Sverigeleden,terminus location,Garasavvon,1,[X] is [REL] of [Y].
Garasavvon,terminus location,Sverigeleden,0,[X] has [REL] as [Y].
N 43,terminus location,tremblois-lès-rocroi,1,[X] is [REL] of [Y].
tremblois-lès-rocroi,terminus location,N 43,0,[X] has [REL] as [Y].
r4 expressway (czech republic),terminus location,Závist (Zbraslav),1,[X] is [REL] of [Y].
Závist (Zbraslav),terminus location,r4 expressway (czech republic),0,[X] has [REL] as [Y].
national route 50,terminus location,"Maebasi, Gumma",1,[X] is [REL] of [Y].
"Maebasi, Gumma",terminus location,national route 50,0,[X] has [REL] as [Y].
National road 1,terminus location,Belgium–France border,1,[X] is [REL] of [Y].
Belgium–France border,terminus location,National road 1,0,[X] has [REL] as [Y].
Route 416 (Japan),terminus location,fukui-shi,1,[X] is [REL] of [Y].
fukui-shi,terminus location,Route 416 (Japan),0,[X] has [REL] as [Y].
iowa 930,terminus location,religion in nebraska,1,[X] is [REL] of [Y].
religion in nebraska,terminus location,iowa 930,0,[X] has [REL] as [Y].
"Bomaderry (Nowra) railway station, New South Wales",connecting line,"south coast railway line, new south wales",1,[X] is [REL] of [Y].
"south coast railway line, new south wales",connecting line,"Bomaderry (Nowra) railway station, New South Wales",0,[X] has [REL] as [Y].
Sonoda Station,connecting line,hankyu kobe main line,1,[X] is [REL] of [Y].
hankyu kobe main line,connecting line,Sonoda Station,0,[X] has [REL] as [Y].
kumagawa station,connecting line,itsukaichi line,1,[X] is [REL] of [Y].
itsukaichi line,connecting line,kumagawa station,0,[X] has [REL] as [Y].
hurden railway station,connecting line,s40 (zvv),1,[X] is [REL] of [Y].
s40 (zvv),connecting line,hurden railway station,0,[X] has [REL] as [Y].
cubbon park (namma metro),connecting line,Purple Line (Namma Metro),1,[X] is [REL] of [Y].
Purple Line (Namma Metro),connecting line,cubbon park (namma metro),0,[X] has [REL] as [Y].
culemborg railway station,connecting line,utrecht–boxtel railway,1,[X] is [REL] of [Y].
utrecht–boxtel railway,connecting line,culemborg railway station,0,[X] has [REL] as [Y].
Herlasgrün station,connecting line,herlasgrun–oelsnitz railway,1,[X] is [REL] of [Y].
herlasgrun–oelsnitz railway,connecting line,Herlasgrün station,0,[X] has [REL] as [Y].
Kita-Okazaki Station,connecting line,aichi loop line,1,[X] is [REL] of [Y].
aichi loop line,connecting line,Kita-Okazaki Station,0,[X] has [REL] as [Y].
st johns wood tube station,connecting line,jubilee line (london underground),1,[X] is [REL] of [Y].
jubilee line (london underground),connecting line,st johns wood tube station,0,[X] has [REL] as [Y].
Piramide (Rome Metro),connecting line,metro b rome,1,[X] is [REL] of [Y].
metro b rome,connecting line,Piramide (Rome Metro),0,[X] has [REL] as [Y].
龍陽路站,connecting line,shanghai metro line 2,1,[X] is [REL] of [Y].
shanghai metro line 2,connecting line,龍陽路站,0,[X] has [REL] as [Y].
Mine Station,connecting line,mine line,1,[X] is [REL] of [Y].
mine line,connecting line,Mine Station,0,[X] has [REL] as [Y].
bexley north railway station,connecting line,east hills railway line,1,[X] is [REL] of [Y].
east hills railway line,connecting line,bexley north railway station,0,[X] has [REL] as [Y].
Vlotho station,connecting line,elze–lohne railway,1,[X] is [REL] of [Y].
elze–lohne railway,connecting line,Vlotho station,0,[X] has [REL] as [Y].
sretensky boulevard (metro),connecting line,moscow metro line 10,1,[X] is [REL] of [Y].
moscow metro line 10,connecting line,sretensky boulevard (metro),0,[X] has [REL] as [Y].
O'Hare station,connecting line,2006 chicago subway fire,1,[X] is [REL] of [Y].
2006 chicago subway fire,connecting line,O'Hare station,0,[X] has [REL] as [Y].
Socialist Party of Egypt,political ideology,Democrat Socialist,0,[X] has [REL] as [Y].
Democrat Socialist,political ideology,Socialist Party of Egypt,1,[X] is [REL] of [Y].
Green Left Party,political ideology,libertarian socialist,0,[X] has [REL] as [Y].
libertarian socialist,political ideology,Green Left Party,1,[X] is [REL] of [Y].
Brazilian Labor Party (current),political ideology,labourism,0,[X] has [REL] as [Y].
labourism,political ideology,Brazilian Labor Party (current),1,[X] is [REL] of [Y].
spanish people's union,political ideology,right-wing (politics),0,[X] has [REL] as [Y].
right-wing (politics),political ideology,spanish people's union,1,[X] is [REL] of [Y].
central african republican party,political ideology,Roman liberty,0,[X] has [REL] as [Y].
Roman liberty,political ideology,central african republican party,1,[X] is [REL] of [Y].
venetian autonomy league,political ideology,regionalism (politics),0,[X] has [REL] as [Y].
regionalism (politics),political ideology,venetian autonomy league,1,[X] is [REL] of [Y].
yukon progressive conservative party,political ideology,Political conservative,0,[X] has [REL] as [Y].
Political conservative,political ideology,yukon progressive conservative party,1,[X] is [REL] of [Y].
Unitary Movement,political ideology,Democrat Socialist,0,[X] has [REL] as [Y].
Democrat Socialist,political ideology,Unitary Movement,1,[X] is [REL] of [Y].
Direct Democracy Ireland,political ideology,true demcracy,0,[X] has [REL] as [Y].
true demcracy,political ideology,Direct Democracy Ireland,1,[X] is [REL] of [Y].
Sjukvardspartiet,political ideology,Single issue campaign,0,[X] has [REL] as [Y].
Single issue campaign,political ideology,Sjukvardspartiet,1,[X] is [REL] of [Y].
renovacion espanola,political ideology,Authoritarinism,0,[X] has [REL] as [Y].
Authoritarinism,political ideology,renovacion espanola,1,[X] is [REL] of [Y].
Union of Communist Militants,political ideology,commmunism,0,[X] has [REL] as [Y].
commmunism,political ideology,Union of Communist Militants,1,[X] is [REL] of [Y].
socialist party scotland,political ideology,Marxist approach,0,[X] has [REL] as [Y].
Marxist approach,political ideology,socialist party scotland,1,[X] is [REL] of [Y].
Progressive Party of China,political ideology,Political conservative,0,[X] has [REL] as [Y].
Political conservative,political ideology,Progressive Party of China,1,[X] is [REL] of [Y].
Open Left (Spain),political ideology,Democrat Socialist,0,[X] has [REL] as [Y].
Democrat Socialist,political ideology,Open Left (Spain),1,[X] is [REL] of [Y].
free democratic party (germany,political ideology,criticism of liberalism,0,[X] has [REL] as [Y].
criticism of liberalism,political ideology,free democratic party (germany,1,[X] is [REL] of [Y].
quinctilius varus,time period,Imperial Roman,9,[X] witness [REL] happening of [Y].
Imperial Roman,time period,quinctilius varus,8,[X] happens [REL] in [Y].
Marcus Julius Philippus Severus,time period,Imperial Roman,9,[X] witness [REL] happening of [Y].
Imperial Roman,time period,Marcus Julius Philippus Severus,8,[X] happens [REL] in [Y].
Philodemus,time period,Ellinistic,9,[X] witness [REL] happening of [Y].
Ellinistic,time period,Philodemus,8,[X] happens [REL] in [Y].
Tertia Aemilia,time period,Res Publica Romana,9,[X] witness [REL] happening of [Y].
Res Publica Romana,time period,Tertia Aemilia,8,[X] happens [REL] in [Y].
Lucius Manlius (Acidinus),time period,Res Publica Romana,9,[X] witness [REL] happening of [Y].
Res Publica Romana,time period,Lucius Manlius (Acidinus),8,[X] happens [REL] in [Y].
apollinaris of clermont,time period,Imperial Roman,9,[X] witness [REL] happening of [Y].
Imperial Roman,time period,apollinaris of clermont,8,[X] happens [REL] in [Y].
Mellobaud,time period,Imperial Roman,9,[X] witness [REL] happening of [Y].
Imperial Roman,time period,Mellobaud,8,[X] happens [REL] in [Y].
Aulus Postumius Albinus (consul 151 BC),time period,Res Publica Romana,9,[X] witness [REL] happening of [Y].
Res Publica Romana,time period,Aulus Postumius Albinus (consul 151 BC),8,[X] happens [REL] in [Y].
"Jacob Willemsz. de, the elder Wet",time period,Gouden Eeuw,9,[X] witness [REL] happening of [Y].
Gouden Eeuw,time period,"Jacob Willemsz. de, the elder Wet",8,[X] happens [REL] in [Y].
gaius claudius severus,time period,Imperial Roman,9,[X] witness [REL] happening of [Y].
Imperial Roman,time period,gaius claudius severus,8,[X] happens [REL] in [Y].
Tetramachus,time period,Imperial Roman,9,[X] witness [REL] happening of [Y].
Imperial Roman,time period,Tetramachus,8,[X] happens [REL] in [Y].
victor of solothurn,time period,Imperial Roman,9,[X] witness [REL] happening of [Y].
Imperial Roman,time period,victor of solothurn,8,[X] happens [REL] in [Y].
Gaocen,time period,dhɑng,9,[X] witness [REL] happening of [Y].
dhɑng,time period,Gaocen,8,[X] happens [REL] in [Y].
Gaius Antistius Vetus (consul 30 BC),time period,Res Publica Romana,9,[X] witness [REL] happening of [Y].
Res Publica Romana,time period,Gaius Antistius Vetus (consul 30 BC),8,[X] happens [REL] in [Y].
Onesilos,time period,Greco-Roman antiquity,9,[X] witness [REL] happening of [Y].
Greco-Roman antiquity,time period,Onesilos,8,[X] happens [REL] in [Y].
Titus Statilius Taurus (consul 11),time period,Res Publica Romana,9,[X] witness [REL] happening of [Y].
Res Publica Romana,time period,Titus Statilius Taurus (consul 11),8,[X] happens [REL] in [Y].
high tide (tv series),creator,Jeff Franklin,0,[X] has [REL] as [Y].
Jeff Franklin,creator,high tide (tv series),1,[X] is [REL] of [Y].
gargamel,creator,Peyo,0,[X] has [REL] as [Y].
Peyo,creator,gargamel,1,[X] is [REL] of [Y].
tu eres mi destino,creator,julio alejandro,0,[X] has [REL] as [Y].
julio alejandro,creator,tu eres mi destino,1,[X] is [REL] of [Y].
Beanie and Cecil,creator,Robert Clampett,0,[X] has [REL] as [Y].
Robert Clampett,creator,Beanie and Cecil,1,[X] is [REL] of [Y].
William Kaplan (Comics),creator,Allan Heinberg,0,[X] has [REL] as [Y].
Allan Heinberg,creator,William Kaplan (Comics),1,[X] is [REL] of [Y].
The Wright Verdicts,creator,Dick Wolf,0,[X] has [REL] as [Y].
Dick Wolf,creator,The Wright Verdicts,1,[X] is [REL] of [Y].
Jolly Toper,creator,juffr. molenaers,0,[X] has [REL] as [Y].
juffr. molenaers,creator,Jolly Toper,1,[X] is [REL] of [Y].
Jacob and his twelve sons,creator,Francisco de zurbaran,0,[X] has [REL] as [Y].
Francisco de zurbaran,creator,Jacob and his twelve sons,1,[X] is [REL] of [Y].
mister geppetto,creator,"Collodi, Carlo, 1826-1890",0,[X] has [REL] as [Y].
"Collodi, Carlo, 1826-1890",creator,mister geppetto,1,[X] is [REL] of [Y].
Mira Quien Baila US,creator,Endemol Entertainment,0,[X] has [REL] as [Y].
Endemol Entertainment,creator,Mira Quien Baila US,1,[X] is [REL] of [Y].
Bringing Down Marble from the Quarries to Carrara,creator,j. s. sargent,0,[X] has [REL] as [Y].
j. s. sargent,creator,Bringing Down Marble from the Quarries to Carrara,1,[X] is [REL] of [Y].
cybernetic remotely operated woman,creator,joel gordon hodgson,0,[X] has [REL] as [Y].
joel gordon hodgson,creator,cybernetic remotely operated woman,1,[X] is [REL] of [Y].
the kitchen maid (chardin),creator,m. chardin,0,[X] has [REL] as [Y].
m. chardin,creator,the kitchen maid (chardin),1,[X] is [REL] of [Y].
the x factor (arabic tv series),creator,Simon Cow,0,[X] has [REL] as [Y].
Simon Cow,creator,the x factor (arabic tv series),1,[X] is [REL] of [Y].
Grand Admiral Mitth'raw'nuruodo,creator,blackcollar,0,[X] has [REL] as [Y].
blackcollar,creator,Grand Admiral Mitth'raw'nuruodo,1,[X] is [REL] of [Y].
Castle (tv series),creator,Andrew W. Marlowe,0,[X] has [REL] as [Y].
Andrew W. Marlowe,creator,Castle (tv series),1,[X] is [REL] of [Y].
mass (band),record label,4ad (record label),0,[X] has [REL] as [Y].
4ad (record label),record label,mass (band),1,[X] is [REL] of [Y].
13.13,record label,ruby records,0,[X] has [REL] as [Y].
ruby records,record label,13.13,1,[X] is [REL] of [Y].
Hollywood Forever Cemetery Sings / Drive,record label,Bella Union,0,[X] has [REL] as [Y].
Bella Union,record label,Hollywood Forever Cemetery Sings / Drive,1,[X] is [REL] of [Y].
leif garrett,record label,es paranza records,0,[X] has [REL] as [Y].
es paranza records,record label,leif garrett,1,[X] is [REL] of [Y].
Tweekend,record label,geffen records,0,[X] has [REL] as [Y].
geffen records,record label,Tweekend,1,[X] is [REL] of [Y].
Ursula Rucker,record label,studio !k7 records,0,[X] has [REL] as [Y].
studio !k7 records,record label,Ursula Rucker,1,[X] is [REL] of [Y].
word from bird,record label,es paranza records,0,[X] has [REL] as [Y].
es paranza records,record label,word from bird,1,[X] is [REL] of [Y].
a night at the opera (queen album),record label,emi group,0,[X] has [REL] as [Y].
emi group,record label,a night at the opera (queen album),1,[X] is [REL] of [Y].
heavenly bodies,record label,"rca records, inc.",0,[X] has [REL] as [Y].
"rca records, inc.",record label,heavenly bodies,1,[X] is [REL] of [Y].
Procession (New Order song),record label,factory too,0,[X] has [REL] as [Y].
factory too,record label,Procession (New Order song),1,[X] is [REL] of [Y].
Goodnight Girl,record label,polygram music,0,[X] has [REL] as [Y].
polygram music,record label,Goodnight Girl,1,[X] is [REL] of [Y].
hardrock gunter,record label,Charly Groove,0,[X] has [REL] as [Y].
Charly Groove,record label,hardrock gunter,1,[X] is [REL] of [Y].
Green River (song),record label,Beach Street Records,0,[X] has [REL] as [Y].
Beach Street Records,record label,Green River (song),1,[X] is [REL] of [Y].
ulrik munther,record label,Vertigo/Capitol,0,[X] has [REL] as [Y].
Vertigo/Capitol,record label,ulrik munther,1,[X] is [REL] of [Y].
What You're Doing,record label,parlophone music france,0,[X] has [REL] as [Y].
parlophone music france,record label,What You're Doing,1,[X] is [REL] of [Y].
mchg,record label,Roc-a-Fella Records,0,[X] has [REL] as [Y].
Roc-a-Fella Records,record label,mchg,1,[X] is [REL] of [Y].
Children in Need Rocks 2013,original network,Bbc one,0,[X] has [REL] as [Y].
Bbc one,original network,Children in Need Rocks 2013,1,[X] is [REL] of [Y].
The Real World (Honolulu),original network,discover and download,0,[X] has [REL] as [Y].
discover and download,original network,The Real World (Honolulu),1,[X] is [REL] of [Y].
